,ID,x,y,rssi1,rssi2,rssi3,rssi4,rssi5
0,11424,0.0,1.2,-31,-39,-39,-38,-32
1,11424,0.0,1.2,-32,-60,-39,-50,-33
2,11424,0.0,1.2,-32,-38,-44,-50,-33
3,11424,0.0,1.2,-28,-39,-100,-38,-65
4,11424,0.0,1.2,-31,-62,-38,-48,-48
5,11424,0.0,1.2,-31,-39,-44,-48,-34
6,11424,0.0,1.2,-29,-38,-44,-38,-58
7,11424,0.0,1.2,-32,-39,-44,-50,-55
8,11424,0.0,1.2,-30,-38,-41,-50,-55
9,11424,0.0,1.2,-28,-37,-41,-51,-32
10,11424,0.0,1.2,-28,-38,-45,-47,-41
11,11424,0.0,1.2,-31,-36,-39,-48,-48
12,11424,0.0,1.2,-31,-37,-46,-50,-48
13,11424,0.0,1.2,-31,-39,-38,-50,-46
14,11424,0.0,1.2,-32,-60,-46,-48,-46
15,11424,0.0,1.2,-31,-37,-38,-47,-55
16,11424,0.0,1.2,-32,-40,-43,-40,-49
17,11424,0.0,1.2,-28,-55,-39,-51,-55
18,11424,0.0,1.2,-29,-36,-38,-38,-33
19,11424,0.0,1.2,-32,-57,-47,-48,-32
0,11426,0.0,2.4,-31,-45,-47,-45,-37
1,11426,0.0,2.4,-42,-46,-44,-43,-44
2,11426,0.0,2.4,-38,-44,-45,-48,-51
3,11426,0.0,2.4,-31,-52,-47,-48,-35
4,11426,0.0,2.4,-37,-42,-47,-45,-45
5,11426,0.0,2.4,-31,-47,-48,-42,-37
6,11426,0.0,2.4,-31,-47,-46,-47,-39
7,11426,0.0,2.4,-32,-44,-50,-42,-36
8,11426,0.0,2.4,-38,-45,-44,-42,-36
9,11426,0.0,2.4,-44,-41,-47,-43,-37
10,11426,0.0,2.4,-36,-47,-48,-44,-35
11,11426,0.0,2.4,-43,-44,-48,-44,-52
12,11426,0.0,2.4,-43,-48,-48,-43,-36
13,11426,0.0,2.4,-36,-40,-47,-43,-35
14,11426,0.0,2.4,-40,-55,-47,-48,-37
15,11426,0.0,2.4,-39,-44,-46,-43,-37
16,11426,0.0,2.4,-31,-50,-46,-44,-38
17,11426,0.0,2.4,-39,-41,-46,-43,-34
18,11426,0.0,2.4,-32,-43,-47,-47,-37
19,11426,0.0,2.4,-41,-41,-45,-46,-37
0,11428,0.0,3.6,-47,-49,-48,-42,-31
1,11428,0.0,3.6,-40,-40,-44,-42,-37
2,11428,0.0,3.6,-46,-49,-48,-51,-31
3,11428,0.0,3.6,-46,-40,-40,-51,-39
4,11428,0.0,3.6,-46,-40,-48,-48,-35
5,11428,0.0,3.6,-46,-48,-48,-47,-39
6,11428,0.0,3.6,-46,-45,-48,-48,-34
7,11428,0.0,3.6,-46,-40,-48,-51,-35
8,11428,0.0,3.6,-41,-49,-40,-40,-32
9,11428,0.0,3.6,-40,-46,-44,-47,-34
10,11428,0.0,3.6,-46,-40,-44,-41,-32
11,11428,0.0,3.6,-39,-40,-44,-47,-34
12,11428,0.0,3.6,-40,-48,-57,-58,-37
13,11428,0.0,3.6,-49,-48,-45,-40,-37
14,11428,0.0,3.6,-42,-49,-47,-47,-32
15,11428,0.0,3.6,-44,-39,-48,-48,-32
16,11428,0.0,3.6,-41,-49,-52,-58,-37
17,11428,0.0,3.6,-45,-39,-52,-39,-37
18,11428,0.0,3.6,-46,-49,-46,-40,-32
19,11428,0.0,3.6,-41,-49,-47,-46,-32
0,11430,0.0,4.8,-32,-40,-50,-44,-34
1,11430,0.0,4.8,-41,-40,-48,-41,-37
2,11430,0.0,4.8,-37,-40,-51,-45,-37
3,11430,0.0,4.8,-37,-53,-49,-41,-36
4,11430,0.0,4.8,-37,-40,-51,-41,-37
5,11430,0.0,4.8,-42,-40,-51,-42,-36
6,11430,0.0,4.8,-37,-50,-49,-41,-37
7,11430,0.0,4.8,-32,-43,-48,-45,-38
8,11430,0.0,4.8,-33,-43,-48,-47,-34
9,11430,0.0,4.8,-33,-52,-48,-45,-34
10,11430,0.0,4.8,-41,-43,-48,-42,-38
11,11430,0.0,4.8,-37,-53,-51,-42,-38
